survey,item_con,item,variable,values,nonresponses
afrob1,threestate_dcn,threestate_afrob,supdem,c(3:1),"c(4,98)"
afrob1,strong5,strong_afrob,rejdic,c(5:1),"c(6,98)"
afrob1,army_approve5,army_afrob,rejmil,c(5:1),"c(6,98)"
afrob1,oneparty_bad5,party_afrob,rejone,c(5:1),"c(6,98)"
afrob2,threestate_dcn,threestate_afrob,q38,"c(2,1,3)","c(9,98)"
afrob2,strong5,strong_afrob,q35d,c(5:1),"c(9,98)"
afrob2,army_approve5,army_afrob,q35c,c(5:1),"c(9,98)"
afrob2,oneparty_bad5,party_afrob,q35a,c(5:1),"c(9,98)"
afrob3,threestate_dcn,threestate_afrob,q37,"c(2,1,3)","c(9,998)"
afrob3,strong5,strong_afrob,q36c,c(5:1),"c(9,98)"
afrob3,army_approve5,army_afrob,q36b,c(5:1),"c(9,98)"
afrob3,oneparty_bad5,party_afrob,q36a,c(5:1),"c(9,98)"
afrob4,threestate_dcn,threestate_afrob,q30,"c(2,1,3)","c(9,998)"
afrob4,strong5,strong_afrob,q29c,c(5:1),"c(9,998)"
afrob4,army_approve5,army_afrob,q29b,c(5:1),"c(9,998)"
afrob4,oneparty_bad5,party_afrob,q29a,c(5:1),"c(9,998)"
afrob5,threestate_dcn,threestate_afrob,q32,"c(2,1,3)","c(9,998)"
afrob5,strong5,strong_afrob,q31c,c(5:1),"c(9,998)"
afrob5,army_approve5,army_afrob,q31b,c(5:1),"c(9,998)"
afrob5,oneparty_bad5,party_afrob,q31a,c(5:1),"c(9,998)"
afrob6,threestate_dcn,threestate_afrob,q30,"c(2,1,3)","c(9,98)"
afrob6,strong5,strong_afrob,q28c,c(5:1),"c(9,98)"
afrob6,army_approve5,army_afrob,q28b,c(5:1),"c(9,98)"
afrob6,oneparty_bad5,party_afrob,q28a,c(5:1),"c(9,98)"
afrob7,threestate_dcn,threestate_afrob,q28,"c(2,1,3)","c(9,8)"
afrob7,strong5,strong_afrob,q27c,c(5:1),"c(9,8)"
afrob7,army_approve5,army_afrob,q27b,c(5:1),"c(9,8)"
afrob7,oneparty_bad5,party_afrob,q27a,c(5:1),"c(9,8)"
amb_argentina2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_argentina2010,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_argentina2010,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_argentina2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_argentina2012,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_argentina2012,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_argentina2014,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_argentina2014,church7,church_amb,ing4,c(1:7),99
amb_argentina2016,church7,church_amb,ing4,c(1:7),99
amb_argentina2018,church7,church_amb,ing4,c(1:7),99
amb_bolivia2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_bolivia2010,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_bolivia2010,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_bolivia2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_bolivia2012,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_bolivia2012,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_bolivia2014,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_bolivia2014,church7,church_amb,ing4,c(1:7),99
amb_bolivia2016,church7,church_amb,ing4,c(1:7),99
amb_bolivia2018,church7,church_amb,ing4,c(1:7),99
amb_canada2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",c(88)
amb_canada2010,church7,church_amb,ing4,c(1:7),c(88)
amb_canada2010,strong2a,strong_amb_1,aut1,c(1:2),c(88)
amb_canada2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",c(88)
amb_canada2012,church7,church_amb,ing4,c(1:7),99
amb_canada2014,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_canada2014,church7,church_amb,ing4,c(1:7),99
amb_canada2016,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_canada2016,church7,church_amb,ing4,c(1:7),99
amb_canada2018,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_canada2018,church7,church_amb,ing4,c(1:7),99
amb_chile2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_chile2010,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_chile2010,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_chile2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_chile2012,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_chile2012,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_chile2014,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_chile2014,church7,church_amb,ing4,c(1:7),99
amb_chile2016,church7,church_amb,ing4,c(1:7),99
amb_chile2018,church7,church_amb,ing4,c(1:7),99
amb_colombia2005,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_colombia2005,church7,church_amb,ing4,c(1:7),99
amb_colombia2005,strong2a,strong_amb_1,aut1,c(1:2),99
amb_colombia2007,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_colombia2007,church7,church_amb,ing4,c(1:7),99
amb_colombia2007,strong2a,strong_amb_1,aut1,c(1:2),99
amb_colombia2009,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",8
amb_colombia2009,church7,church_amb,ing4,c(1:7),8
amb_colombia2009,strong2a,strong_amb_1,aut1,c(1:2),8
amb_colombia2011,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_colombia2011,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_colombia2011,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_colombia2013,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_colombia2016,church7,church_amb,ing4,c(1:7),99
amb_colombia2018,church7,church_amb,ing4,c(1:7),99
amb_combo,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_combo,church7,church_amb,ing4,c(1:7),99
amb_combo,strong2a,strong_amb_1,aut1,c(1:2),99
amb_ecuador2014,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_ecuador2014,church7,church_amb,ing4,c(1:7),99
amb_ecuador2016,church7,church_amb,ing4,c(1:7),99
amb_ecuador2018,church7,church_amb,ing4,c(1:7),99
amb_suriname2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_suriname2010,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_suriname2010,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_suriname2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_suriname2012,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_suriname2012,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_trinidad2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_trinidad2010,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_trinidad2010,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_trinidad2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_trinidad2012,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_trinidad2012,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_us2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",88
amb_us2010,church7,church_amb,ing4,c(1:7),88
amb_us2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",88
amb_us2012,church7,church_amb,ing4,c(1:7),88
amb_us2012,strong2a,strong_amb_1,aut1,c(1:2),88
amb_us2014,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_us2014,church7,church_amb,ing4,c(1:7),99
amb_us2014,strong2a,threestate_amb,dem2,"c(3,1,2)",99
amb_us2016,church7,church_amb,ing4,c(1:7),99
amb_us2018,church7,church_amb,ing4,c(1:7),99
amb_venezuela2010,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_venezuela2010,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_venezuela2010,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_venezuela2012,threestate_ndc,threestate_amb,dem2,"c(3,1,2)","c(88,98)"
amb_venezuela2012,church7,church_amb,ing4,c(1:7),"c(88,98)"
amb_venezuela2012,strong2a,strong_amb_1,aut1,c(1:2),"c(88,98)"
amb_venezuela2014,threestate_ndc,threestate_amb,dem2,"c(3,1,2)",99
amb_venezuela2014,church7,church_amb,ing4,c(1:7),99
amb_venezuela2016,church7,church_amb,ing4,c(1:7),99
amb_venezuela2016,strong2a,strong_amb_1,aut1,c(1:2),99
arabb1,church4,church_arabb,q2324,c(4:1),"c(97,98,99)"
arabb1,strong_bad4,strong_arabb_2,q2452,c(1:4),"c(97,98,99)"
arabb1,dem_good4c,evdemoc_arabb,q2451,c(4:1),"c(97,98,99)"
arabb1,suitable10,democsuit_arabb10,q243,c(1:10),"c(97,98,99)"
arabb2,church4,church_arabb,q5164,c(4:1),"c(8,9)"
arabb2,strong4b,strong_arabb_1,q5172,c(1:4),"c(8,9)"
arabb2,dem_good4c,evdemoc_arabb,q5171,c(4:1),"c(8,9)"
arabb2,suitable10,democsuit_arabb10,q512,c(1:10),"c(96,98,99)"
arabb3,church4,church_arabb,q5164,c(4:1),"c(8,9)"
arabb3,strong4b,strong_arabb_1,q5172,c(1:4),"c(8,9)"
arabb3,dem_good4c,evdemoc_arabb,q5171,c(4:1),"c(8,9)"
arabb3,suitable11,democsuit_arabb11,q512,c(0:10),"c(96,98,99)"
arabb4,threestate_dcn,threestate_arabb,q516a,"c(2,3,1)","c(98,99)"
arabb4,church4,church_arabb,q5164,c(4:1),"c(98,99)"
arabb4,suitable11,democsuit_arabb11,q512,c(0:10),"c(96,98,99)"
arabb5,threestate_dcn,threestate_arabb,q516a,"c(2,3,1)","c(98,99)"
arabb5,church4,church_arabb,q516_4,c(4:1),"c(98,99)"
arabb5,suitable11,democsuit_arabb11,q512,c(0:10),"c(96,98,99)"
asiab2003,strong_bad3,strong_asiab,q27_a,c(1:3),c(9)
asiab2003,army_bad3,army_asiab,q27_c,c(1:3),c(9)
asiab2003,dem_good3,evdemoc_asiab,q27_d,c(3:1),c(9)
asiab2004,strong_bad3,strong_asiab,q32a,c(1:3),c(9)
asiab2004,army_bad3,army_asiab,q32c,c(1:3),c(9)
asiab2004,dem_good3,evdemoc_asiab,q32d,c(3:1),c(9)
asiab2005,strong_bad3,strong_asiab,q34a,c(1:3),c(9)
asiab2005,army_bad3,army_asiab,q34c,c(1:3),c(9)
asiab2005,dem_good3,evdemoc_asiab,q34d,c(3:1),c(9)
asiab2006,strong_bad3,strong_asiab,q38a,c(1:3),c(9)
asiab2006,army_bad3,army_asiab,q38c,c(1:3),c(9)
asiab2006,dem_good3,evdemoc_asiab,q38d,c(3:1),c(9)
asiab2007,strong_bad3,strong_asiab,q39a,c(1:3),c(9)
asiab2007,army_bad3,army_asiab,q39c,c(1:3),c(9)
asiab2007,dem_good3,evdemoc_asiab,q39d,c(3:1),c(9)
asianb1,threestate_dcn,threestate_asianb,q117,c(1:3),"c(98,99)"
asianb1,strong4a,strong_asianb,q121,c(1:4),"c(98,99)"
asianb1,army_approve4,army_asianb,q123,c(1:4),"c(98,99)"
asianb1,oneparty_bad4,party_asianb,q122,c(1:4),"c(98,99)"
asianb1,suitable10,democsuit_asianb,q103,c(1:10),"c(98,99)"
asianb1,wantdem10,democextent_asianb,q101,c(1:10),"c(98,99)"
asianb2,threestate_dcn,threestate_asianb,q121,"c(2,1,3)","c(7,8,9)"
asianb2,strong4a,strong_asianb,q124,c(1:4),c(7:9)
asianb2,army_approve4,army_asianb,q126,c(1:4),"c(7,8,9)"
asianb2,oneparty_bad4,party_asianb,q125,c(1:4),"c(7,8,9)"
asianb2,suitable10,democsuit_asianb,q98,c(1:10),c(97:99)
asianb2,wantdem10,democextent_asianb,q97,c(1:10),c(97:99)
asianb3,threestate_dcn,threestate_asianb,q124,"c(2,3,1)",c(7:9)
asianb3,church4,church_asianb,q128,c(4:1),c(7:9)
asianb3,strong4a,strong_asianb,q129,c(1:4),c(7:9)
asianb3,army_approve4,army_asianb,q131,c(1:4),c(7:9)
asianb3,oneparty_bad4,party_asianb,q130,c(1:4),c(7:9)
asianb3,suitable10,democsuit_asianb,q94,c(1:10),c(97:99)
asianb3,wantdem10,democextent_asianb,q93,c(1:10),c(97:99)
asianb4,threestate_dcn,threestate_asianb,q125,"c(2,3,1)",c(7:9)
asianb4,church4,church_asianb,q129,c(4:1),c(7:9)
asianb4,strong4a,strong_asianb,q130,c(1:4),c(7:9)
asianb4,army_approve4,army_asianb,q132,c(1:4),c(7:9)
asianb4,oneparty_bad4,party_asianb,q131,c(1:4),c(7:9)
asianb4,suitable10,democsuit_asianb,q97,c(1:10),c(97:99)
asianb4,wantdem10,democextent_asianb,q96,c(1:10),c(97:99)
cdcee,strong2b,strong_cdcee,v517,c(1:2),99
cdcee,elections2,election_cdcee,v276,c(2:1),99
cdcee,church3,church_cdcee,v40,c(3:1),99
cses_combo,church4,church_cses,b3015,c(4:1),c(7:8)
eb30,threestate_dcn,threestate_eb,v122,"c(2,3,1)",99
eb37,threestate_dcn,threestate_eb,v27,"c(2,3,1)",99
eb471,threestate_dcn,threestate_eb,v313,"c(2,3,1)",99
ess6,imp11,impdemoc_ess,implvdm,c(0:10),99
evs_combo,strong_bad4,strong_evs,e114,c(1:4),"c(-1,-2)"
evs_combo,army_bad4,army_evs,e116,c(1:4),"c(-1,-2)"
evs_combo,dem_good4a,evdemoc_evs,e117,c(4:1),"c(-1,-2)"
evs_combo,church4,church_evs,e123,c(4:1),"c(-1,-2)"
evs_greece2017,strong_bad4,strong_evs,v145,c(1:4),"c(-1,-2)"
evs_greece2017,army_bad4,army_evs,v147,c(1:4),"c(-1,-2)"
evs_greece2017,dem_good4a,evdemoc_evs,v148,c(4:1),"c(-1,-2)"
evs_greece2017,imp10,impdemoc_evs,v142,c(1:10),"c(-10,-1,-2)"
evs2017,strong_bad4,strong_evs,v145,c(1:4),"c(-1,-2)"
evs2017,army_bad4,army_evs,v147,c(1:4),"c(-1,-2)"
evs2017,imp10,impdemoc_evs,v142,c(1:10),"c(-10,-1,-2)"
evs2017,dem_good4a,evdemoc_evs,v148,c(4:1),"c(-1,-2)"
gallup_vop2004,church4,church_vop,q2d,c(4:1),9
gallup_vop2005,church4,church_vop,q6a1,c(4:1),9
gallup_vop2007,church4,church_vop,q3a,c(4:1),9
lb1995,threestate_dcn,threestate_lb,p20,"c(2,3,1)",c(-1:-2)
lb1996,threestate_dcn,threestate_lb,p19,"c(2,3,1)",c(-1:-2)
lb1997,threestate_dcn,threestate_lb,sp31,"c(2,3,1)",c(-1:-2)
lb1998,threestate_dcn,threestate_lb,sp28,"c(2,3,1)",c(-1:-2)
lb2000,threestate_dcn,threestate_lb,p29st,"c(2,3,1)",c(-1:-2)
lb2001,threestate_dcn,threestate_lb,p46st,"c(2,3,1)",c(-1:-2)
lb2002,threestate_dcn,threestate_lb,p32st,"c(2,3,1)",c(-1:-2)
lb2002,church4,church_lb,p38no2c,c(4:1),c(-1:-2)
lb2003,threestate_dcn,threestate_lb,p14st,"c(2,3,1)",c(-1:-2)
lb2003,church4,church_lb,p16st_c,c(4:1),c(-1:-2)
lb2004,threestate_dcn,threestate_lb,p13st,"c(2,3,1)",c(-1:-2)
lb2004,church4,church_lb,p22sta,c(4:1),c(-1:-2)
lb2005,threestate_dcn,threestate_lb,p16st,"c(2,3,1)",c(-1:-2)
lb2005,church4,church_lb,p25stb,c(4:1),c(-1:-2)
lb2006,threestate_dcn,threestate_lb,p17st,"c(2,3,1)",c(-1:-2)
lb2006,church4,church_lb,p22st_a,c(4:1),c(-1:-2)
lb2007,threestate_dcn,threestate_lb,p9st,"c(2,3,1)",c(-1:-2)
lb2007,church4,church_lb,p13sta,c(4:1),c(-1:-2)
lb2008,threestate_dcn,threestate_lb,p13st,"c(2,3,1)",c(-1:-2)
lb2008,church4,church_lb,p19s_ta,c(4:1),c(-1:-2)
lb2009,threestate_dcn,threestate_lb,p10st,"c(2,3,1)",c(-1:-2)
lb2009,church4,church_lb,p20st_a,c(4:1),c(-1:-2)
lb2010,threestate_dcn,threestate_lb,p10st,"c(2,3,1)","c(0,-1,-2,8)"
lb2010,church4,church_lb,p14st_a,c(4:1),"c(0,-1,-2)"
lb2011,threestate_dcn,threestate_lb,p13st,"c(2,3,1)","c(-1,-2)"
lb2011,church4,church_lb,p16st_a,c(4:1),"c(-1,-2)"
lb2013,threestate_dcn,threestate_lb,p12stgbs,"c(2,3,1)","c(-1,-2)"
lb2013,church4,church_lb,p43st_a,c(4:1),"c(-1,-2)"
lb2015,threestate_dcn,threestate_lb,p11stgbs,"c(2,3,1)","c(-1,-2)"
lb2015,church4,church_lb,p13st_a,c(4:1),c(-1)
lb2016,threestate_dcn,threestate_lb,p8stgbs,"c(2,3,1)","c(-1,-2)"
lb2016,church4,church_lb,p31sta,c(4:1),"c(-1,-2)"
lb2017,threestate_dcn,threestate_lb,p8stgbs,"c(2,3,1)","c(-1,-2)"
lb2017,church4,church_lb,p22st,c(4:1),c(-1)
lb2018,threestate_dcn,threestate_lb,p12stgbs,"c(2,3,1)","c(-1,-2)"
lb2018,church4,church_lb,p24st,c(4:1),c(-1)
neb_combo,threestate_dcn,threestate_neb,a7,"c(2,3,1)",c(98)
neb_combo,strong4a,strong_neb,a3c,c(1:4),c(98)
neb_combo,army_approve4,army_neb,a3b,c(1:4),c(98)
pew2002,strong2c,strong_pew,q47,c(2:1),"c(3,4)"
pew2002,imp4,impdemoc_pew,q41b,c(4:1),"c(5,6)"
pew2005_11,strong2c,strong_pew,q29,c(2:1),"c(8,9)"
pew2005_6,strong2c,strong_pew,q33,c(2:1),"c(8,9)"
pew2006,strong2c,strong_pew,q5b_leader_dem,c(2:1),"c(8,9)"
pew2007,strong2c,strong_pew,q55,c(2:1),"c(8,9)"
pew2007,imp4,impdemoc_pew,q51b,c(4:1),"c(8,9)"
pew2008,strong2c,strong_pew,q58a,c(2:1),"c(8,9)"
pew2009,strong2c,strong_pew,q35,c(2:1),"c(8,9)"
pew2009,imp4,impdemoc_pew,q41a,c(4:1),"c(8,9)"
pew2010,threestate_dcn,threestate_pew,q17,"c(2,3,1)","c(8,9)"
pew2011,threestate_dcn,threestate_pew,q8,"c(2,3,1)","c(8,9)"
pew2011,strong2c,strong_pew,q57,c(2:1),"c(8,9)"
pew2011,imp4,impdemoc_pew,egy12b,c(4:1),"c(8,9)"
pew2012,threestate_dcn,threestate_pew,q21,"c(2,3,1)","c(8,9)"
pew2012,strong2c,strong_pew,q71,c(2:1),"c(8,9)"
pew2012,imp4,impdemoc_pew,q69b,c(4:1),"c(8,9)"
pew2012,imp4,impdemoc_pew,q115b,c(4:1),"c(8,9)"
pew2013,threestate_dcn,threestate_pew,q15,"c(2,3,1)","c(8,9)"
pew2013,strong2c,strong_pew,q88,c(2:1),"c(8,9)"
pew2013,imp4,impdemoc_pew,q85b,c(4:1),"c(8,9)"
pew2013,imp4,impdemoc_pew,q122b,c(4:1),"c(8,9)"
pew2014,threestate_dcn,threestate_pew,q19,"c(2,3,1)","c(8,9)"
pew2014,strong2c,strong_pew,qet1,c(2:1),"c(8,9)"
pew2014,imp4,impdemoc_pew,q104b,c(4:1),"c(8,9)"
pew2015,strong2c,strong_pew,q9,c(2:1),"c(8,9)"
pew2015,imp4,impdemoc_pew,q56e,c(4:1),"c(8,9)"
pew2016,strong2c,strong_pew,q9,c(2:1),"c(8,9)"
pew2016,imp4,impdemoc_pew,q33e,c(4:1),"c(8,9)"
pew2017,strong_bad4,strong_pew.1,polsys_autocracy,c(1:4),"c(8,9)"
pew2017,army_bad4,army_pew,polsys_junta,c(1:4),"c(8,9)"
pew2017,dem_good4b,evdemoc_pew,polsys_republic,c(4:1),"c(8,9)"
sasianb1,threestate_dcn,threestate_sasianb,c23,"c(2,3,1)","c(0,8)"
sasianb1,strong4a,strong_sasianb,c18a,c(1:4),"c(0,8)"
sasianb1,army_approve4,army_sasianb,c18b,c(1:4),"c(0,8)"
sasianb1,elections4,election_sasianb,c18d,c(4:1),"c(0,8)"
sasianb1,suitable4,democsuit_sasianb,c17,c(4:1),"c(0,8)"
sasianb2,threestate_dcn,threestate_sasianb,gbc34,"c(2,3,1)","c(7,8,9)"
sasianb2,strong4a,strong_sasianb,gbc35a,c(1:4),"c(8,9)"
sasianb2,army_approve4,army_sasianb,gbc35b,c(1:4),"c(7,8,9)"
tcmeg2004,dem_good4a,evdemoc_tcmeg,m603a,c(4:1),"c(97,98,99)"
tcmeg2004,strong_bad4,strong_tcmeg,m603b,c(1:4),"c(97,98,99)"
tcmeg2004,army_bad4,army_tcmeg,m603e,c(1:4),"c(97,98,99)"
tcmeg2004,church4,church_tcmeg,m601d,c(4:1),"c(97,98,99)"
wvs_combo,strong_bad4,strong_wvs,e114,c(1:4),"c(-1,-2)"
wvs_combo,army_bad4,army_wvs,e116,c(1:4),"c(-1,-2)"
wvs_combo,dem_good4a,evdemoc_wvs,e117,c(4:1),"c(-1,-2)"
wvs_combo,imp10,impdemoc_wvs,e235,c(1:10),"c(-1,-2)"
wvs_combo,church4,church_wvs,e123,c(4:1),"c(-1,-2)"
wvs4_swe,strong_bad4,strong_wvs,v164,c(1:4),"c(-1,-2)"
wvs4_swe,army_bad4,army_wvs,v166,c(1:4),"c(-1,-2)"
wvs4_swe,dem_good4a,evdemoc_wvs,v167,c(4:1),"c(-1,-2)"
wvs4_swe,church4,church_wvs,v172,c(4:1),"c(-1,-2)"
wvs6_bahrain,strong_bad4,strong_wvs,v127,c(1:4),"c(-1,-2)"
wvs6_bahrain,army_bad4,army_wvs,v129,c(1:4),"c(-1,-2)"
wvs6_bahrain,dem_good4a,evdemoc_wvs,v130,c(4:1),"c(-1,-2)"
wvs6_bahrain,imp10,impdemoc_wvs,v140,c(1:10),"c(-1,-2)"
wvs7,strong_bad4,strong_wvs,q235,c(1:4),"c(-1,-2)"
wvs7,army_bad4,army_wvs,q237,c(1:4),"c(-1,-2)"
wvs7,dem_good4a,evdemoc_wvs,q238,c(4:1),"c(-1,-2)"
wvs7,imp10,impdemoc_wvs,q250,c(1:10),"c(-1,-2)"