survey,item,variable,values,non_response
,,,,
afrob1,threestate_afrob,supdem,c(3:1),"c(4,98)"
,,,,
afrob1,strong_afrob,rejdic,c(5:1),"c(6,98)"
,,,,
afrob1,army_afrob,rejmil,c(5:1),"c(6,98)"
,,,,
afrob1,party_afrob,rejone,c(5:1),"c(6,98)"
,,,,
afrob2,threestate_afrob,q38,"c(2,1,3)","c(9,98)"
,,,,
afrob2,strong_afrob,q35d,c(5:1),"c(9,98)"
,,,,
afrob2,army_afrob,q35c,c(5:1),"c(9,98)"
,,,,
afrob2,party_afrob,q35a,c(5:1),"c(9,98)"
,,,,
afrob3,threestate_afrob,q37,"c(2,1,3)","c(9,998)"
,,,,
afrob3,strong_afrob,q36c,c(5:1),"c(9,98)"
,,,,
afrob3,army_afrob,q36b,c(5:1),"c(9,98)"
,,,,
afrob3,party_afrob,q36a,c(5:1),"c(9,98)"
,,,,
afrob4,threestate_afrob,Q30,"c(2,1,3)","c(9,998)"
,,,,
afrob4,strong_afrob,Q29C,c(5:1),"c(9,998)"
,,,,
afrob4,army_afrob,Q29B,c(5:1),"c(9,998)"
,,,,
afrob4,party_afrob,Q29A,c(5:1),"c(9,998)"
,,,,
afrob5,threestate_afrob,Q32,"c(2,1,3)","c(9,998)"
,,,,
afrob5,strong_afrob,Q31C,c(5:1),"c(9,998)"
,,,,
afrob5,army_afrob,Q31B,c(5:1),"c(9,998)"
,,,,
afrob5,party_afrob,Q31A,c(5:1),"c(9,998)"
,,,,
afrob6,threestate_afrob,Q30,"c(2,1,3)","c(9,98)"
,,,,
afrob6,strong_afrob,Q28C,c(5:1),"c(9,98)"
,,,,
afrob6,army_afrob,Q28B,c(5:1),"c(9,98)"
,,,,
afrob6,party_afrob,Q28A,c(5:1),"c(9,98)"
,,,,
afrob7,threestate_afrob,Q28,"c(2,1,3)","c(9,8)"
,,,,
afrob7,strong_afrob,Q27C,c(5:1),"c(9,8)"
,,,,
afrob7,army_afrob,Q27B,c(5:1),"c(9,8)"
,,,,
afrob7,party_afrob,Q27A,c(5:1),"c(9,8)"
,,,,
arabb1,church_arabb,q2324,c(4:1),"c(97,98,99)"
,,,,
arabb1,strong_arabb_2,q2452,c(1:4),"c(97,98,99)"
,,,,
arabb1,evdemoc_arabb,q2451,c(4:1),"c(97,98,99)"
,,,,
arabb1,democsuit_arabb,q243,c(1:10),"c(97,98,99)"
,,,,
arabb2,church_arabb,q5164,c(4:1),"c(8,9)"
,,,,
arabb2,strong_arabb_1,q5172,c(1:4),"c(8,9)"
,,,,
arabb2,evdemoc_arabb,q5171,c(4:1),"c(8,9)"
,,,,
arabb2,democsuit_arabb,q512,c(1:10),"c(96,98,99)"
,,,,
arabb3,church_arabb,q5164,c(4:1),"c(8,9)"
,,,,
arabb3,strong_arabb_1,q5172,c(1:4),"c(8,9)"
,,,,
arabb3,evdemoc_arabb,q5171,c(4:1),"c(8,9)"
,,,,
arabb3,democsuit_arabb,q512,c(0:10),"c(96,98,99)"
,,,,
arabb4,threestate_arabb,q516a,"c(2,3,1)","c(98,99)"
,,,,
arabb5,threestate_arabb,q516a,"c(2,3,1)","c(98,99)"
,,,,
arabb5,church_arabb,q5164,c(4:1),"c(98,99)"
,,,,
arabb5,democsuit_arabb,q512,c(0:10),"c(96,98,99)"
,,,,
asiab2003,strong_asiab,Q27_a,c(1:3),c(9)
,,,,
asiab2003,army_asiab,Q27_c,c(1:3),c(9)
,,,,
asiab2003,evdemoc_asiab,Q27_d,c(3:1),c(9)
,,,,
asiab2004,strong_asiab,Q32a,c(1:3),c(9)
,,,,
asiab2004,army_asiab,Q32c,c(1:3),c(9)
,,,,
asiab2004,evdemoc_asiab,Q32d,c(3:1),c(9)
,,,,
asiab2005,strong_asiab,Q34a,c(1:3),c(9)
,,,,
asiab2005,army_asiab,Q34c,c(1:3),c(9)
,,,,
asiab2005,evdemoc_asiab,Q34d,c(3:1),c(9)
,,,,
asiab2006,strong_asiab,Q38a,c(1:3),c(9)
,,,,
asiab2006,army_asiab,Q38c,c(1:3),c(9)
,,,,
asiab2006,evdemoc_asiab,Q38d,c(3:1),c(9)
,,,,
asiab2007,strong_asiab,q39a,c(1:3),c(9)
,,,,
asiab2007,army_asiab,q39c,c(1:3),c(9)
,,,,
asiab2007,evdemoc_asiab,q39d,c(3:1),c(9)
,,,,
asianb1,threestate_asianb,q117,c(1:3),"c(98,99)"
,,,,
asianb1,strong_asianb,q121,c(1:4),"c(98,99)"
,,,,
asianb1,army_asianb,q123,c(1:4),"c(98,99)"
,,,,
asianb1,party_asianb,q122 ,c(1:4),"c(98,99)"
,,,,
asianb1,democsuit_asianb,q103,c(1:10),"c(98,99)"
,,,,
asianb1,democextent_asianb,q101,c(1:10),"c(98,99)"
,,,,
asianb2,threestate_asianb,q121,"c(2,1,3)  ","c(7,8,9)"
,,,,
asianb2,strong_asianb,q124,c(1:4),"c(7,8,9)"
,,,,
asianb2,army_asianb,q126 ,c(1:4),"c(7,8,9)"
,,,,
asianb2,party_asianb,q125,c(1:4),"c(7,8,9)"
,,,,
asianb2,democsuit_asianb,q98,c(1:10),c(97:99)
,,,,
asianb2,democextent_asianb,q97,c(1:10),c(97:99)
,,,,
asianb3,threestate_asianb,q124,"c(2,3,1)",c(7:9)
,,,,
asianb3,church_asianb,q128,c(4:1),c(7:9)
,,,,
asianb3,strong_asianb,q129,c(1:4),c(7:9)
,,,,
asianb3,army_asianb,q131,c(1:4),c(7:9)
,,,,
asianb3,party_asianb,q130,c(1:4),c(7:9)
,,,,
asianb3,democsuit_asianb,q94,c(1:10),c(97:99)
,,,,
asianb3,democextent_asianb,q93,c(1:10),c(97:99)
,,,,
asianb4,threestate_asianb,q125,"c(2,3,1)",c(7:9)
,,,,
asianb4,church_asianb,q129,c(4:1),c(7:9)
,,,,
asianb4,strong_asianb,q130,c(1:4),c(7:9)
,,,,
asianb4,army_asianb,q132,c(1:4),c(7:9)
,,,,
asianb4,party_asianb,q131,c(1:4),c(7:9)
,,,,
asianb4,democsuit_asianb,q97,c(1:10),c(97:99)
,,,,
asianb4,democextent_asianb,q96,c(1:10),c(97:99)
,,,,
cses2,church_cses,B3015,c(4:1),c(7:8)
,,,,
ess6,impdemoc_ess,implvdm,c(0:10),
,,,,
amb_combo,threestate_amb,dem2,"c(3,1,2)",
,,,,
amb_combo,church_amb,ing4 ,c(1:7),
,,,,
amb_combo,strong_amb_1,aut1 ,c(1:2),
,,,,
amb_combo_2004,strong_amb_2,aut1 ,c(1:2),
,,,,
lb1995,threestate_lb,p20,"c(2,3,1)",c(-1:-2)
,,,,
lb1996,threestate_lb,p19,"c(2,3,1)",c(-1:-2)
,,,,
lb1997,threestate_lb,sp31,"c(2,3,1)",c(-1:-2)
,,,,
lb1998,threestate_lb,sp28,"c(2,3,1)",c(-1:-2)
,,,,
lb2000,threestate_lb,P29ST,"c(2,3,1)",c(-1:-2)
,,,,
lb2001,threestate_lb,p46st,"c(2,3,1)",c(-1:-2)
,,,,
lb2002,threestate_lb,p32st,"c(2,3,1)",c(-1:-2)
,,,,
lb2002,church_lb,p38no2c,c(4:1),c(-1:-2)
,,,,
lb2003,threestate_lb,p14st,"c(2,3,1)",c(-1:-2)
,,,,
lb2003,church_lb,p16st_c,c(4:1),c(-1:-2)
,,,,
lb2004,threestate_lb,p13st,"c(2,3,1)",c(-1:-2)
,,,,
lb2004,church_lb,p22sta,c(4:1),c(-1:-2)
,,,,
lb2005,threestate_lb,p16st,"c(2,3,1)",c(-1:-2)
,,,,
lb2005,church_lb,p25stb,c(4:1),c(-1:-2)
,,,,
lb2006,threestate_lb,p17st,"c(2,3,1)",c(-1:-2)
,,,,
lb2006,church_lb,p22st_a,c(4:1),c(-1:-2)
,,,,
lb2007,threestate_lb,p9st,"c(2,3,1)",c(-1:-2)
,,,,
lb2007,church_lb,p13sta,c(4:1),c(-1:-2)
,,,,
lb2008,threestate_lb,p13st,"c(2,3,1)",c(-1:-2)
,,,,
lb2008,church_lb,p19s_ta,c(4:1),c(-1:-2)
,,,,
lb2009,threestate_lb,p10st,"c(2,3,1)",c(-1:-2)
,,,,
lb2009,church_lb,p20st_a,c(4:1),c(-1:-2)
,,,,
lb2010,threestate_lb,P10ST ,"c(2,3,1)","c(0,-1,-2,8)"
,,,,
lb2010,church_lb,P14ST_A,c(4:1),"c(0,-1,-2)"
,,,,
lb2011,threestate_lb,P13ST,"c(2,3,1)","c(-1,-2)"
,,,,
lb2011,church_lb,P16ST_A,c(4:1),"c(-1,-2)"
,,,,
lb2013,threestate_lb,P12STGBS,"c(2,3,1)","c(-1,-2)"
,,,,
lb2013,church_lb,P43ST_A,c(4:1),"c(-1,-2)"
,,,,
lb2015,threestate_lb,P11STGBS,"c(2,3,1)","c(-1,-2)"
,,,,
lb2015,church_lb,P13ST_A,c(4:1),c(-1)
,,,,
lb2016,threestate_lb,P8STGBS,"c(2,3,1)","c(-1,-2)"
,,,,
lb2016,church_lb,P31STA  ,c(4:1),"c(-1,-2)"
,,,,
lb2017,threestate_lb,P8STGBS,"c(2,3,1)","c(-1,-2)"
,,,,
lb2017,church_lb,P22ST,c(4:1),c(-1)
,,,,
pew2002,strong_pew,q47,c(2:1),"c(3,4)"
,,,,
pew2002,impdemoc_pew,q41b,c(4:1),"c(5,6)"
,,,,
pew2005_6,strong_pew,Q33,c(2:1),"c(8,9)"
,,,,
pew2006,strong_pew,Q5b_leader_dem,c(2:1),"c(8,9)"
,,,,
pew2007,strong_pew,Q55,c(2:1),"c(8,9)"
,,,,
pew2007,impdemoc_pew,Q51B,c(4:1),"c(8,9)"
,,,,
pew2008,strong_pew,Q58A,c(2:1),"c(8,9)"
,,,,
pew2009,strong_pew,Q35,c(2:1),"c(8,9)"
,,,,
pew2009,impdemoc_pew,Q41A,c(4:1),"c(8,9)"
,,,,
pew2010,threestate_pew,Q17,"c(2,3,1)","c(8,9)"
,,,,
pew2011,threestate_pew,Q8,"c(2,3,1)","c(8,9)"
,,,,
pew2011,strong_pew,Q57,c(2:1),"c(8,9)"
,,,,
pew2011,impdemoc_pew,EGY12B,c(4:1),"c(8,9)"
,,,,
pew2012,threestate_pew,Q21,"c(2,3,1)","c(8,9)"
,,,,
pew2012,strong_pew,q71,c(2:1),"c(8,9)"
,,,,
pew2012,impdemoc_pew,Q115B,c(4:1),"c(8,9)"
,,,,
pew2013,threestate_pew,Q15,"c(2,3,1)","c(8,9)"
,,,,
pew2013,strong_pew,Q88,c(2:1),"c(8,9)"
,,,,
pew2013,impdemoc_pew,Q122B,c(4:1),"c(8,9)"
,,,,
pew2014,threestate_pew,Q19,"c(2,3,1)","c(8,9)"
,,,,
pew2014,strong_pew,QET1,c(2:1),"c(8,9)"
,,,,
pew2014,impdemoc_pew,Q104B,c(4:1),"c(8,9)"
,,,,
pew2015,strong_pew,Q9,c(2:1),"c(8,9)"
,,,,
pew2015,impdemoc_pew,Q56E,c(4:1),"c(8,9)"
,,,,
pew2016,strong_pew,Q9,c(2:1),"c(8,9)"
,,,,
pew2016,impdemoc_pew,Q33e,c(4:1),"c(8,9)"
,,,,
pew2017,strong_pew.1,polsys_autocracy,c(1:4),"c(8,9)"
,,,,
pew2017,army_pew,polsys_junta,c(1:4),"c(8,9)"
,,,,
pew2017,evdemoc_pew,polsys_republic,c(4:1),"c(8,9)"
,,,,
wvs_combo,church_wvs,E123,c(4:1),"c(-1,-2)"
,,,,
wvs_combo,strong_wvs,E114,c(1:4),"c(-1,-2)"
,,,,
wvs_combo,army_wvs,E116,c(1:4),"c(-1,-2)"
,,,,
wvs_combo,evdemoc_wvs,E117,c(4:1),"c(-1,-2)"
,,,,
wvs_combo,impdemoc_wvs,E235,c(1:10),"c(-1,-2)"
,,,,
eurob1715,threestate_eb,v122,"c(2,3,1)",
,,,,
eurob2936,threestate_eb,v313,"c(2,3,1)",
,,,,
eurob2141,threestate_eb,v27,"c(2,3,1)",
,,,,
evs_combo,church_evs,E123,c(4:1),"c(-1,-2)"
,,,,
evs_combo,strong_evs,E114,c(1:4),"c(-1,-2)"
,,,,
evs_combo,army_evs,E116,c(1:4),"c(-1,-2)"
,,,,
evs_combo,evdemoc_evs,E117,c(4:1),"c(-1,-2)"
,,,,
evs17,strong_evs,v145,c(1:4),"c(-1,-2)"
,,,,
evs17,army_evs,v147,c(1:4),"c(-1,-2)"
,,,,
evs17,evdemoc_evs,v148,c(4:1),"c(-1,-2)"
,,,,
sasianb1,threestate_sasianb,c23,"c(2,3,1)","c(0,8)"
,,,,
sasianb1,strong_sasianb,c18a,c(1:4),"c(0,8)"
,,,,
sasianb1,army_sasianb,c18b,c(1:4),"c(0,8)"
,,,,
sasianb1,election_sasianb,c18d,c(4:1),"c(0,8)"
,,,,
sasianb1,democsuit_sasianb,c17,c(4:1),"c(0,8)"
,,,,
sasianb2,threestate_sasianb,GBC34,"c(2,3,1)","c(7,8,9)"
,,,,
sasianb2,strong_sasianb,GBC35a,c(1:4),"c(8,9)"
,,,,
sasianb2,army_sasianb,GBC35b,c(1:4),"c(7,8,9)"
,,,,
neb_combo,threestate_neb,a7,"c(2,3,1)",c(98)
,,,,
neb_combo,strong_neb,a3c,c(1:4),c(98)
,,,,
neb_combo,army_neb,a3b,c(1:4),c(98)
